timestamp,avg:boottime,var:boottime,avg:bytes_in,var:bytes_in,avg:bytes_out,var:bytes_out,avg:cpu_aidle,var:cpu_aidle,avg:cpu_idle,var:cpu_idle,avg:cpu_nice,var:cpu_nice,avg:cpu_speed,var:cpu_speed,avg:cpu_steal,var:cpu_steal,avg:cpu_system,var:cpu_system,avg:cpu_user,var:cpu_user,avg:cpu_wio,var:cpu_wio,avg:disk_free,var:disk_free,avg:disk_total,var:disk_total,avg:load_fifteen,var:load_fifteen,avg:load_five,var:load_five,avg:load_one,var:load_one,avg:mem_buffers,var:mem_buffers,avg:mem_cached,var:mem_cached,avg:mem_free,var:mem_free,avg:mem_shared,var:mem_shared,avg:mem_total,var:mem_total,avg:part_max_used,var:part_max_used,avg:pkts_in,var:pkts_in,avg:pkts_out,var:pkts_out,avg:proc_run,var:proc_run,avg:proc_total,var:proc_total,avg:swap_free,var:swap_free,avg:swap_total,var:swap_total,gexec_0,machine_type_0,os_name_0,os_release_0,avg:Agg_Therm_Mgn_1,var:Agg_Therm_Mgn_1,avg:BB_Inlet_Temp,var:BB_Inlet_Temp,avg:BB_Mem_VR_Temp,var:BB_Mem_VR_Temp,avg:BB_P1_VR_Temp,var:BB_P1_VR_Temp,avg:BB__12_0V,var:BB__12_0V,avg:BB__3_0V_VBAT,var:BB__3_0V_VBAT,avg:BMC_Temp,var:BMC_Temp,avg:DIMM_Thrm_Mrgn_1,var:DIMM_Thrm_Mrgn_1,avg:DIMM_Thrm_Mrgn_2,var:DIMM_Thrm_Mrgn_2,avg:Exit_Air_Temp,var:Exit_Air_Temp,avg:HSBP_PSOC_Temp,var:HSBP_PSOC_Temp,avg:HSBP_Temp,var:HSBP_Temp,avg:P1_Therm_Ctrl_%,var:P1_Therm_Ctrl_%,avg:P1_Therm_Margin,var:P1_Therm_Margin,avg:PS1_Curr_Out_%,var:PS1_Curr_Out_%,avg:PS1_Input_Power,var:PS1_Input_Power,avg:PS1_Temperature,var:PS1_Temperature,avg:PS2_Curr_Out_%,var:PS2_Curr_Out_%,avg:PS2_Input_Power,var:PS2_Input_Power,avg:PS2_Temperature,var:PS2_Temperature,avg:Riser_1_Temp,var:Riser_1_Temp,avg:Riser_2_Temp,var:Riser_2_Temp,avg:SSB_Temp,var:SSB_Temp,avg:System_Fan_1a,var:System_Fan_1a,avg:System_Fan_1b,var:System_Fan_1b,avg:System_Fan_2a,var:System_Fan_2a,avg:System_Fan_2b,var:System_Fan_2b,avg:System_Fan_3a,var:System_Fan_3a,avg:System_Fan_3b,var:System_Fan_3b,HDD_0_Status_0,MTT_CPU1_0,NM_Capabilities_0,P1_Status_0,PS1_Status_0,PS2_Status_0
2019-10-17 10:05:00+02:00,1561742840.0,0.0,4666.16,34097256.0448,3731.242,10439458.533696,77.4,0.0,74.82,0.032600000000001274,0.0,0.0,1400.0,0.0,0.0,0.0,0.2,0.0,25.008333333333333,0.04709722222222229,0.0,0.0,79.02838333333334,2.3638888888442776e-07,102.802,0.0,74.04016666666668,0.0015683055555555361,74.1295,0.010818083333333114,74.29216666666667,0.1798369722222189,0.0,0.0,533507.5333333333,179.7822222222222,79194783.2,2243732.6933333334,0.0,0.0,98705496.0,0.0,83.8,0.0,26.5195,19.99355475,18.096,8.423884,68.01666666666667,0.016388888888888887,3798.95,4.7475,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,11.2,0.15999999999999998,35.266666666666666,0.19555555555555554,45.0,0.0,49.93333333333333,0.06222222222222224,12.3371,0.0007257600000000073,3.1685999999999996,1.9721522630525295e-31,44.0,0.0,-55.0,0.0,-54.0,0.0,46.333333333333336,0.22222222222222218,43.0,0.0,31.2,0.15999999999999998,0.0,0.0,-24.0,0.26666666666666666,22.333333333333332,0.22222222222222224,635.8,229.09333333333333,46.0,0.0,22.666666666666668,0.48888888888888893,632.8666666666667,223.7155555555555,45.0,0.0,38.0,0.0,35.0,0.0,52.0,0.0,24428.133333333335,10841.84888888889,24604.533333333333,26208.24888888889,24375.866666666665,9561.315555555555,24513.066666666666,13915.128888888887,24598.0,43538.13333333333,24539.2,22793.493333333332,1.0,1.0,1.0,1.0,1.0,1.0
2019-10-17 10:10:00+02:00,1561742840.0,0.0,2155.4791666666665,160536.8601576389,2991.201666666667,19132024.70163055,77.4,0.0,74.745,0.06747500000000137,0.0,0.0,1400.0,0.0,0.0,0.0,0.2,0.0,25.085,0.07827500000000004,0.0,0.0,79.029,0.0,102.802,0.0,74.15399999999998,0.001607333333333089,74.33283333333333,0.030066972222222182,74.52883333333332,0.8652536388888838,0.0,0.0,533545.2,776.1599999999999,79191684.0,8910000.0,0.0,0.0,98705496.0,0.0,83.8,0.0,31.005333333333336,48.55563822222223,15.328333333333333,8.877030555555558,68.0,0.0,3801.0,0.0,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,11.333333333333334,0.22222222222222218,35.266666666666666,0.1955555555555555,45.0,0.0,49.86666666666667,0.11555555555555559,12.329900000000002,0.0006998400000000068,3.168599999999999,7.888609052210118e-31,44.0,0.0,-55.0,0.0,-54.0,0.0,46.266666666666666,0.1955555555555555,43.0,0.0,31.333333333333332,0.22222222222222218,0.0,0.0,-23.933333333333334,0.19555555555555557,22.666666666666668,0.3555555555555555,635.8,164.55999999999995,46.0,0.0,22.733333333333334,0.46222222222222237,635.8,116.15999999999998,45.0,0.0,38.0,0.0,35.0,0.0,52.0,0.0,24467.333333333332,12378.488888888889,24617.6,28427.84,24362.8,3585.4933333333324,24611.066666666666,30562.062222222226,24578.4,16903.04,24513.066666666666,20317.795555555553,1.0,1.0,1.0,1.0,1.0,1.0
2019-10-17 10:15:00+02:00,1561742840.0,0.0,1499.1793333333333,110423.61520622224,6849.029666666666,31751495.141419888,77.4,0.0,74.92333333333333,0.011122222222222412,0.0,0.0,1400.0,0.0,0.0,0.0,0.17,0.0021,24.906666666666666,0.008622222222222193,0.0,0.0,79.029,0.0,102.80199999999999,2.0194839173657902e-28,74.21983333333334,0.006088305555555401,74.37383333333334,0.05333697222222447,74.37366666666667,0.6227932222222222,0.0,0.0,533599.7333333333,171.66222222222223,79195775.73333333,1231125.2622222218,0.0,0.0,98705496.0,0.0,83.8,0.0,21.482000000000003,15.149262666666672,16.506333333333334,11.787253222222217,68.9,0.7233333333333334,3798.6666666666665,3.8888888888888884,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,11.133333333333333,0.11555555555555559,35.0,0.0,45.0,0.0,50.0,0.0,12.333500000000003,0.0007257600000000075,3.168599999999999,7.888609052210118e-31,44.0,0.0,-55.0,0.0,-54.0,0.0,46.13333333333333,0.11555555555555559,43.0,0.0,31.333333333333332,0.22222222222222224,0.0,0.0,-24.133333333333333,0.24888888888888897,22.533333333333335,0.2488888888888889,635.0666666666667,104.3288888888889,46.0,0.0,22.8,0.2933333333333334,635.8,100.02666666666667,45.0,0.0,38.0,0.0,35.0,0.0,52.0,0.0,24441.2,9988.160000000002,24611.066666666666,19037.26222222222,24356.266666666666,10073.528888888888,24500.0,21769.066666666666,24591.466666666667,21086.115555555552,24473.866666666665,19805.58222222222,1.0,1.0,1.0,1.0,1.0,1.0
2019-10-17 10:20:00+02:00,1561742840.0,0.0,801.2508333333333,144159.2821576389,1652.829,11779061.235805668,77.4,0.0,74.96666666666667,0.11888888888889028,0.0,0.0,1400.0,0.0,0.0,0.0,0.23,0.002099999999999999,24.803333333333335,0.14698888888888886,0.0,0.0,79.029,0.0,102.80199999999999,2.0194839173657902e-28,74.07116666666666,0.014300305555555287,73.87766666666666,0.09490455555555455,73.306,0.3922140000000064,0.0,0.0,533615.4,454.84,79194404.8,329436.16,0.0,0.0,98705496.0,0.0,83.8,0.0,11.545166666666665,39.98101830555557,6.754166666666667,17.984507638888893,68.96666666666667,0.9988888888888889,3798.0,3.0,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,11.066666666666666,0.06222222222222224,35.0,0.0,44.46666666666667,0.24888888888888897,49.266666666666666,0.1955555555555555,12.337100000000003,0.0007257600000000074,3.168599999999999,7.888609052210118e-31,44.0,0.0,-55.0,0.0,-54.0,0.0,46.0,0.0,43.0,0.0,31.133333333333333,0.11555555555555559,0.0,0.0,-24.6,0.3733333333333333,22.4,0.23999999999999996,629.9333333333333,201.1288888888889,46.0,0.0,22.466666666666665,0.2488888888888889,631.4,206.50666666666663,45.0,0.0,38.0,0.0,35.0,0.0,52.0,0.0,24480.4,20744.64,24565.333333333332,21342.22222222222,24362.8,3585.4933333333333,24598.0,25610.666666666668,24643.733333333334,34403.662222222236,24526.133333333335,17244.515555555558,1.0,1.0,1.0,1.0,1.0,1.0
2019-10-17 10:25:00+02:00,1561742840.0,0.0,3542.799833333333,10978979.341011642,7120.148999999999,43281649.50204567,77.4,0.0,75.00333333333333,0.003988888888888435,0.0,0.0,1400.0,0.0,0.0,0.0,0.2,0.0,24.796666666666667,0.003988888888888867,0.0,0.0,79.029,0.0,102.80200000000002,2.0194839173657902e-28,74.00316666666667,0.001524972222222112,73.87566666666666,0.019011222222222745,74.10616666666668,0.3857136388888898,0.0,0.0,533725.7333333333,308.46222222222224,79193210.26666667,831313.2622222222,0.0,0.0,98705496.0,0.0,83.8,0.0,18.649833333333333,43.89149830555556,16.183500000000002,64.48585941666667,69.6,0.64,3797.0666666666666,0.2622222222222222,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,11.133333333333333,0.11555555555555558,35.0,0.0,44.733333333333334,0.1955555555555555,49.733333333333334,0.1955555555555555,12.329900000000002,0.0006998400000000068,3.168599999999999,7.888609052210118e-31,44.0,0.0,-55.0,0.0,-54.0,0.0,46.13333333333333,0.11555555555555558,43.0,0.0,31.2,0.16,0.0,0.0,-23.866666666666667,0.24888888888888897,22.266666666666666,0.1955555555555555,629.2,212.96,46.0,0.0,22.466666666666665,0.3822222222222223,627.7333333333333,201.12888888888892,45.0,0.0,38.0,0.0,35.0,0.0,52.0,0.0,24454.266666666666,8792.995555555557,24624.133333333335,19805.58222222222,24388.933333333334,10073.52888888889,24591.466666666667,40294.11555555554,24624.133333333335,30049.848888888893,24532.666666666668,23903.28888888889,1.0,1.0,1.0,1.0,1.0,1.0
2019-10-17 10:30:00+02:00,1561742840.0,0.0,1084.55,1906785.2755999998,1216.3263333333332,5718394.788029889,77.4,0.0,74.765,0.03627500000000009,0.0,0.0,1400.0,0.0,0.0,0.0,0.14,0.0024000000000000007,25.035,0.036275000000000265,0.0,0.0,79.02841666666666,2.430555555509687e-07,102.802,0.0,74.013,0.007334333333332986,73.93316666666665,0.05923497222222135,73.67266666666666,0.6757928888888878,0.0,0.0,533766.8666666667,509.9155555555555,79191535.06666666,30506.862222222226,0.0,0.0,98705496.0,0.0,83.8,0.0,11.913333333333332,5.95982222222222,7.3133333333333335,7.942455555555555,68.81666666666666,0.1497222222222222,3797.4,1.44,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,11.266666666666667,0.19555555555555557,35.2,0.16,45.0,0.0,50.0,0.0,12.311900000000003,0.0005702399999999919,3.168599999999999,7.888609052210118e-31,44.0,0.0,-55.0,0.0,-54.0,0.0,46.13333333333333,0.11555555555555558,43.0,0.0,31.2,0.16,0.0,0.0,-23.733333333333334,0.328888888888889,22.6,0.5066666666666667,633.6,158.10666666666665,46.0,0.0,22.6,0.5066666666666667,637.2666666666667,217.26222222222228,45.0,0.0,38.0,0.0,35.0,0.0,52.0,0.0,24408.533333333333,9561.315555555555,24578.4,22025.173333333332,24375.866666666665,4439.182222222224,24571.866666666665,22366.648888888896,24624.133333333335,35171.982222222236,24493.466666666667,18525.048888888887,1.0,1.0,1.0,1.0,1.0,1.0
2019-10-17 10:35:00+02:00,1561742840.0,0.0,3460.014333333333,11132990.547494555,6956.378,39916984.743236,77.4,0.0,74.885,0.04227500000000033,0.0,0.0,1400.0,0.0,0.0,0.0,0.14166666666666666,0.002430555555555556,24.915,0.042274999999999924,0.0,0.0,79.02836666666667,2.3222222221783973e-07,102.80199999999999,2.0194839173657902e-28,73.91416666666667,0.0027343055555558876,73.80366666666666,0.037566555555555464,74.03850000000001,0.478159416666673,0.0,0.0,533824.9333333333,277.52888888888896,79192869.6,939296.64,0.0,0.0,98705496.0,0.0,83.8,0.0,21.223666666666666,72.13992655555558,17.7455,116.08560475,68.0,0.0,3798.9333333333334,3.995555555555555,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,11.133333333333333,0.11555555555555559,35.333333333333336,0.2222222222222223,45.0,0.0,50.0,0.0,12.322700000000003,0.0005702400000000056,3.168599999999999,7.888609052210118e-31,44.0,0.0,-55.0,0.0,-54.0,0.0,46.266666666666666,0.1955555555555555,43.0,0.0,31.2,0.16,0.0,0.0,-23.8,0.16000000000000006,22.533333333333335,0.2488888888888889,638.7333333333333,217.26222222222222,46.0,0.0,22.6,0.23999999999999996,634.3333333333334,123.68888888888888,45.0,0.0,38.0,0.0,35.0,0.0,52.0,0.0,24473.866666666665,19805.582222222227,24630.666666666668,20061.688888888883,24382.4,6658.7733333333335,24591.466666666667,28769.315555555553,24643.733333333334,31842.59555555556,24500.0,17927.466666666667,1.0,1.0,1.0,1.0,1.0,1.0
2019-10-17 10:40:00+02:00,1561742840.0,0.0,1191.5398333333333,169868.24665497223,5114.402500000001,40150817.40411874,77.4,0.0,74.85166666666667,0.03849722222222241,0.0,0.0,1400.0,0.0,0.0,0.0,0.14833333333333334,0.0024972222222222227,24.97,0.038100000000000016,0.0,0.0,79.02881666666667,1.4972222221939665e-07,102.80200000000002,2.0194839173657902e-28,73.9935,0.0077527499999999454,74.01883333333333,0.07131363888888731,73.80916666666667,0.9943509722222192,0.0,0.0,534914.8666666667,456986.71555555554,79191849.33333333,1409401.9555555554,0.0,0.0,98705496.0,0.0,83.8,0.0,17.112833333333334,46.315206972222214,13.841666666666667,96.33849722222224,68.0,0.0,3801.0,0.0,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,11.6,0.23999999999999996,35.666666666666664,0.2222222222222223,45.0,0.0,49.93333333333333,0.06222222222222226,12.319100000000002,0.00046656000000000475,3.168599999999999,7.888609052210118e-31,44.0,0.0,-55.0,0.0,-54.0,0.0,46.733333333333334,0.1955555555555555,43.0,0.0,31.666666666666668,0.2222222222222223,0.0,0.0,-23.666666666666668,0.22222222222222224,22.6,0.37333333333333324,637.2666666666667,233.39555555555557,46.0,0.0,22.733333333333334,0.728888888888889,637.2666666666667,233.39555555555557,45.0,0.0,38.0,0.0,35.0,0.0,52.4,0.23999999999999996,24434.666666666668,11097.955555555558,24552.266666666666,22878.862222222226,24382.4,10500.373333333333,24519.6,25866.773333333334,24552.266666666666,24159.39555555556,24486.933333333334,17756.72888888889,1.0,1.0,1.0,1.0,1.0,1.0
2019-10-17 10:45:00+02:00,1561742840.0,0.0,1773.6743333333332,408033.50179788895,4378.424666666667,15223889.44331822,77.4,0.0,74.87,0.06209999999999926,0.0,0.0,1400.0,0.0,0.0,0.0,0.16,0.0024000000000000007,24.97,0.0501,0.0,0.0,79.028,0.0,102.80200000000002,2.0194839173657902e-28,73.955,0.007084999999999423,73.96333333333334,0.06860888888888848,74.34233333333333,0.8398778888888849,0.0,0.0,535397.0666666667,304.99555555555554,79188357.33333333,57759.28888888889,0.0,0.0,98705496.0,0.0,83.8,0.0,29.47966666666667,149.36186988888892,23.055333333333333,64.75139155555557,68.5,1.25,3797.133333333333,0.5155555555555555,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,11.733333333333333,0.19555555555555557,35.666666666666664,0.2222222222222223,45.0,0.0,50.0,0.0,12.337100000000001,0.0007257600000000073,3.168599999999999,7.888609052210118e-31,44.0,0.0,-55.0,0.0,-54.0,0.0,46.86666666666667,0.11555555555555559,43.0,0.0,31.6,0.23999999999999996,0.0,0.0,-23.666666666666668,0.22222222222222218,22.466666666666665,0.2488888888888889,631.4,141.97333333333333,46.0,0.0,22.6,0.23999999999999996,629.2,100.02666666666666,45.0,0.0,38.0,0.0,35.0,0.0,52.4,0.23999999999999996,24434.666666666668,11097.955555555556,24552.266666666666,20317.795555555556,24382.4,9219.839999999997,24526.133333333335,12122.382222222224,24630.666666666668,23903.28888888889,24460.8,17671.359999999993,1.0,1.0,1.0,1.0,1.0,1.0
2019-10-17 10:50:00+02:00,1561742840.0,0.0,3344.392666666667,7327811.080106225,7180.930000000001,44227699.88579999,77.4,0.0,75.07,0.014100000000000274,0.0,0.0,1400.0,0.0,0.0,0.0,0.14,0.0024000000000000007,24.76,0.008400000000000069,0.0,0.0,79.02799999999999,2.0194839173657902e-28,102.802,0.0,74.01766666666666,0.0027778888888887335,74.08166666666668,0.028433888888889546,73.93966666666667,0.46087655555555784,0.0,0.0,535428.2666666667,255.92888888888885,79187553.6,189527.03999999998,0.0,0.0,98705496.0,0.0,83.8,0.0,30.54699999999999,76.204301,24.631000000000004,30.989015666666674,69.3,2.0100000000000002,3797.133333333333,1.8488888888888892,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,11.8,0.16000000000000006,35.93333333333333,0.06222222222222226,45.0,0.0,50.0,0.0,12.344300000000002,0.0006480000000000064,3.168599999999999,7.888609052210118e-31,44.0,0.0,-55.0,0.0,-54.0,0.0,47.0,0.0,43.0,0.0,31.733333333333334,0.1955555555555555,0.0,0.0,-23.466666666666665,0.2488888888888889,22.4,0.23999999999999996,631.4,77.44,46.0,0.0,22.666666666666668,0.3555555555555555,632.1333333333333,94.6488888888889,45.0,0.0,38.0,0.0,35.0,0.0,52.666666666666664,0.2222222222222223,24460.8,13829.760000000002,24604.533333333333,28769.315555555553,24369.333333333332,5975.822222222223,24552.266666666666,20317.795555555556,24571.866666666665,23647.182222222225,24486.933333333334,19037.262222222223,1.0,1.0,1.0,1.0,1.0,1.0
